company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
C001,2015,1,-1,1,Reinvestor
C001,2016,1,-1,1,Reinvestor
C001,2017,1,-1,1,Reinvestor
C001,2018,1,-1,1,Reinvestor
C001,2019,1,-1,1,Reinvestor
C001,2020,1,-1,1,Reinvestor
C001,2021,1,-1,1,Reinvestor
C001,2022,1,-1,1,Reinvestor
C001,2023,1,-1,1,Reinvestor
C001,2024,1,-1,1,Reinvestor
C002,2015,1,-1,1,Cash Compounder
C002,2016,1,-1,1,Cash Compounder
C002,2017,1,-1,1,Cash Compounder
C002,2018,1,-1,1,Cash Compounder
C002,2019,1,-1,1,Cash Compounder
C002,2020,1,-1,1,Cash Compounder
C002,2021,1,-1,1,Cash Compounder
C002,2022,1,-1,1,Cash Compounder
C002,2023,1,-1,1,Cash Compounder
C002,2024,1,-1,1,Cash Compounder
C003,2015,1,-1,-1,Dividend Distributor
C003,2016,1,-1,-1,Dividend Distributor
C003,2017,1,-1,-1,Dividend Distributor
C003,2018,1,-1,-1,Dividend Distributor
C003,2019,1,-1,-1,Dividend Distributor
C003,2020,1,-1,-1,Dividend Distributor
C003,2021,1,-1,-1,Dividend Distributor
C003,2022,1,-1,-1,Dividend Distributor
C003,2023,1,-1,-1,Dividend Distributor
C003,2024,1,-1,-1,Dividend Distributor
C004,2015,1,-1,-1,Debt Reducer
C004,2016,1,-1,-1,Debt Reducer
C004,2017,1,-1,-1,Debt Reducer
C004,2018,1,-1,-1,Debt Reducer
C004,2019,1,-1,-1,Debt Reducer
C004,2020,1,-1,-1,Debt Reducer
C004,2021,1,-1,-1,Debt Reducer
C004,2022,1,-1,-1,Debt Reducer
C004,2023,1,-1,-1,Debt Reducer
C004,2024,1,-1,-1,Debt Reducer
C005,2015,1,-1,1,Acquisition Led
C005,2016,1,-1,1,Acquisition Led
C005,2017,1,-1,1,Acquisition Led
C005,2018,1,-1,1,Acquisition Led
C005,2019,1,-1,1,Acquisition Led
C005,2020,1,-1,1,Acquisition Led
C005,2021,1,-1,1,Acquisition Led
C005,2022,1,-1,1,Acquisition Led
C005,2023,1,-1,1,Acquisition Led
C005,2024,1,-1,1,Acquisition Led
C006,2015,1,-1,1,Capex Heavy
C006,2016,1,-1,1,Capex Heavy
C006,2017,1,-1,1,Capex Heavy
C006,2018,1,-1,1,Capex Heavy
C006,2019,1,-1,1,Capex Heavy
C006,2020,1,-1,1,Capex Heavy
C006,2021,1,-1,1,Capex Heavy
C006,2022,1,-1,1,Capex Heavy
C006,2023,1,-1,1,Capex Heavy
C006,2024,1,-1,1,Capex Heavy
C007,2015,1,-1,1,Working Capital Builder
C007,2016,1,-1,1,Working Capital Builder
C007,2017,1,-1,1,Working Capital Builder
C007,2018,1,-1,1,Working Capital Builder
C007,2019,1,-1,1,Working Capital Builder
C007,2020,1,-1,1,Working Capital Builder
C007,2021,1,-1,1,Working Capital Builder
C007,2022,1,-1,1,Working Capital Builder
C007,2023,1,-1,1,Working Capital Builder
C007,2024,1,-1,1,Working Capital Builder
C008,2015,1,-1,1,Turnaround
C008,2016,1,-1,1,Turnaround
C008,2017,1,-1,1,Turnaround
C008,2018,1,-1,1,Turnaround
C008,2019,1,-1,1,Turnaround
C008,2020,1,-1,1,Turnaround
C008,2021,1,-1,1,Turnaround
C008,2022,1,-1,1,Turnaround
C008,2023,1,-1,1,Turnaround
C008,2024,1,-1,1,Turnaround
C009,2015,1,-1,1,Reinvestor
C009,2016,1,-1,1,Reinvestor
C009,2017,1,-1,1,Reinvestor
C009,2018,1,-1,1,Reinvestor
C009,2019,1,-1,1,Reinvestor
C009,2020,1,-1,1,Reinvestor
C009,2021,1,-1,1,Reinvestor
C009,2022,1,-1,1,Reinvestor
C009,2023,1,-1,1,Reinvestor
C009,2024,1,-1,1,Reinvestor
C010,2015,1,-1,1,Cash Compounder
C010,2016,1,-1,1,Cash Compounder
C010,2017,1,-1,1,Cash Compounder
C010,2018,1,-1,1,Cash Compounder
C010,2019,1,-1,1,Cash Compounder
C010,2020,1,-1,1,Cash Compounder
C010,2021,1,-1,1,Cash Compounder
C010,2022,1,-1,1,Cash Compounder
C010,2023,1,-1,1,Cash Compounder
C010,2024,1,-1,1,Cash Compounder
C011,2015,1,-1,-1,Dividend Distributor
C011,2016,1,-1,-1,Dividend Distributor
C011,2017,1,-1,-1,Dividend Distributor
C011,2018,1,-1,-1,Dividend Distributor
C011,2019,1,-1,-1,Dividend Distributor
C011,2020,1,-1,-1,Dividend Distributor
C011,2021,1,-1,-1,Dividend Distributor
C011,2022,1,-1,-1,Dividend Distributor
C011,2023,1,-1,-1,Dividend Distributor
C011,2024,1,-1,-1,Dividend Distributor
C012,2015,1,-1,-1,Debt Reducer
C012,2016,1,-1,-1,Debt Reducer
C012,2017,1,-1,-1,Debt Reducer
C012,2018,1,-1,-1,Debt Reducer
C012,2019,1,-1,-1,Debt Reducer
C012,2020,1,-1,-1,Debt Reducer
C012,2021,1,-1,-1,Debt Reducer
C012,2022,1,-1,-1,Debt Reducer
C012,2023,1,-1,-1,Debt Reducer
C012,2024,1,-1,-1,Debt Reducer
C013,2015,1,-1,1,Acquisition Led
C013,2016,1,-1,1,Acquisition Led
C013,2017,1,-1,1,Acquisition Led
C013,2018,1,-1,1,Acquisition Led
C013,2019,1,-1,1,Acquisition Led
C013,2020,1,-1,1,Acquisition Led
C013,2021,1,-1,1,Acquisition Led
C013,2022,1,-1,1,Acquisition Led
C013,2023,1,-1,1,Acquisition Led
C013,2024,1,-1,1,Acquisition Led
C014,2015,1,-1,1,Capex Heavy
C014,2016,1,-1,1,Capex Heavy
C014,2017,1,-1,1,Capex Heavy
C014,2018,1,-1,1,Capex Heavy
C014,2019,1,-1,1,Capex Heavy
C014,2020,1,-1,1,Capex Heavy
C014,2021,1,-1,1,Capex Heavy
C014,2022,1,-1,1,Capex Heavy
C014,2023,1,-1,1,Capex Heavy
C014,2024,1,-1,1,Capex Heavy
C015,2015,1,-1,1,Working Capital Builder
C015,2016,1,-1,1,Working Capital Builder
C015,2017,1,-1,1,Working Capital Builder
C015,2018,1,-1,1,Working Capital Builder
C015,2019,1,-1,1,Working Capital Builder
C015,2020,1,-1,1,Working Capital Builder
C015,2021,1,-1,1,Working Capital Builder
C015,2022,1,-1,1,Working Capital Builder
C015,2023,1,-1,1,Working Capital Builder
C015,2024,1,-1,1,Working Capital Builder
C016,2015,1,-1,1,Turnaround
C016,2016,1,-1,1,Turnaround
C016,2017,1,-1,1,Turnaround
C016,2018,1,-1,1,Turnaround
C016,2019,1,-1,1,Turnaround
C016,2020,1,-1,1,Turnaround
C016,2021,1,-1,1,Turnaround
C016,2022,1,-1,1,Turnaround
C016,2023,1,-1,1,Turnaround
C016,2024,1,-1,1,Turnaround
C017,2015,1,-1,1,Reinvestor
C017,2016,1,-1,1,Reinvestor
C017,2017,1,-1,1,Reinvestor
C017,2018,1,-1,1,Reinvestor
C017,2019,1,-1,1,Reinvestor
C017,2020,1,-1,1,Reinvestor
C017,2021,1,-1,1,Reinvestor
C017,2022,1,-1,1,Reinvestor
C017,2023,1,-1,1,Reinvestor
C017,2024,1,-1,1,Reinvestor
C018,2015,1,-1,1,Cash Compounder
C018,2016,1,-1,1,Cash Compounder
C018,2017,1,-1,1,Cash Compounder
C018,2018,1,-1,1,Cash Compounder
C018,2019,1,-1,1,Cash Compounder
C018,2020,1,-1,1,Cash Compounder
C018,2021,1,-1,1,Cash Compounder
C018,2022,1,-1,1,Cash Compounder
C018,2023,1,-1,1,Cash Compounder
C018,2024,1,-1,1,Cash Compounder
C019,2015,1,-1,-1,Dividend Distributor
C019,2016,1,-1,-1,Dividend Distributor
C019,2017,1,-1,-1,Dividend Distributor
C019,2018,1,-1,-1,Dividend Distributor
C019,2019,1,-1,-1,Dividend Distributor
C019,2020,1,-1,-1,Dividend Distributor
C019,2021,1,-1,-1,Dividend Distributor
C019,2022,1,-1,-1,Dividend Distributor
C019,2023,1,-1,-1,Dividend Distributor
C019,2024,1,-1,-1,Dividend Distributor
C020,2015,1,-1,-1,Debt Reducer
C020,2016,1,-1,-1,Debt Reducer
C020,2017,1,-1,-1,Debt Reducer
C020,2018,1,-1,-1,Debt Reducer
C020,2019,1,-1,-1,Debt Reducer
C020,2020,1,-1,-1,Debt Reducer
C020,2021,1,-1,-1,Debt Reducer
C020,2022,1,-1,-1,Debt Reducer
C020,2023,1,-1,-1,Debt Reducer
C020,2024,1,-1,-1,Debt Reducer
C021,2015,1,-1,1,Acquisition Led
C021,2016,1,-1,1,Acquisition Led
C021,2017,1,-1,1,Acquisition Led
C021,2018,1,-1,1,Acquisition Led
C021,2019,1,-1,1,Acquisition Led
C021,2020,1,-1,1,Acquisition Led
C021,2021,1,-1,1,Acquisition Led
C021,2022,1,-1,1,Acquisition Led
C021,2023,1,-1,1,Acquisition Led
C021,2024,1,-1,1,Acquisition Led
C022,2015,1,-1,1,Capex Heavy
C022,2016,1,-1,1,Capex Heavy
C022,2017,1,-1,1,Capex Heavy
C022,2018,1,-1,1,Capex Heavy
C022,2019,1,-1,1,Capex Heavy
C022,2020,1,-1,1,Capex Heavy
C022,2021,1,-1,1,Capex Heavy
C022,2022,1,-1,1,Capex Heavy
C022,2023,1,-1,1,Capex Heavy
C022,2024,1,-1,1,Capex Heavy
C023,2015,1,-1,1,Working Capital Builder
C023,2016,1,-1,1,Working Capital Builder
C023,2017,1,-1,1,Working Capital Builder
C023,2018,1,-1,1,Working Capital Builder
C023,2019,1,-1,1,Working Capital Builder
C023,2020,1,-1,1,Working Capital Builder
C023,2021,1,-1,1,Working Capital Builder
C023,2022,1,-1,1,Working Capital Builder
C023,2023,1,-1,1,Working Capital Builder
C023,2024,1,-1,1,Working Capital Builder
C024,2015,1,-1,1,Turnaround
C024,2016,1,-1,1,Turnaround
C024,2017,1,-1,1,Turnaround
C024,2018,1,-1,1,Turnaround
C024,2019,1,-1,1,Turnaround
C024,2020,1,-1,1,Turnaround
C024,2021,1,-1,1,Turnaround
C024,2022,1,-1,1,Turnaround
C024,2023,1,-1,1,Turnaround
C024,2024,1,-1,1,Turnaround
C025,2015,1,-1,1,Reinvestor
C025,2016,1,-1,1,Reinvestor
C025,2017,1,-1,1,Reinvestor
C025,2018,1,-1,1,Reinvestor
C025,2019,1,-1,1,Reinvestor
C025,2020,1,-1,1,Reinvestor
C025,2021,1,-1,1,Reinvestor
C025,2022,1,-1,1,Reinvestor
C025,2023,1,-1,1,Reinvestor
C025,2024,1,-1,1,Reinvestor
C026,2015,1,-1,1,Cash Compounder
C026,2016,1,-1,1,Cash Compounder
C026,2017,1,-1,1,Cash Compounder
C026,2018,1,-1,1,Cash Compounder
C026,2019,1,-1,1,Cash Compounder
C026,2020,1,-1,1,Cash Compounder
C026,2021,1,-1,1,Cash Compounder
C026,2022,1,-1,1,Cash Compounder
C026,2023,1,-1,1,Cash Compounder
C026,2024,1,-1,1,Cash Compounder
C027,2015,1,-1,-1,Dividend Distributor
C027,2016,1,-1,-1,Dividend Distributor
C027,2017,1,-1,-1,Dividend Distributor
C027,2018,1,-1,-1,Dividend Distributor
C027,2019,1,-1,-1,Dividend Distributor
C027,2020,1,-1,-1,Dividend Distributor
C027,2021,1,-1,-1,Dividend Distributor
C027,2022,1,-1,-1,Dividend Distributor
C027,2023,1,-1,-1,Dividend Distributor
C027,2024,1,-1,-1,Dividend Distributor
C028,2015,1,-1,-1,Debt Reducer
C028,2016,1,-1,-1,Debt Reducer
C028,2017,1,-1,-1,Debt Reducer
C028,2018,1,-1,-1,Debt Reducer
C028,2019,1,-1,-1,Debt Reducer
C028,2020,1,-1,-1,Debt Reducer
C028,2021,1,-1,-1,Debt Reducer
C028,2022,1,-1,-1,Debt Reducer
C028,2023,1,-1,-1,Debt Reducer
C028,2024,1,-1,-1,Debt Reducer
C029,2015,1,-1,1,Acquisition Led
C029,2016,1,-1,1,Acquisition Led
C029,2017,1,-1,1,Acquisition Led
C029,2018,1,-1,1,Acquisition Led
C029,2019,1,-1,1,Acquisition Led
C029,2020,1,-1,1,Acquisition Led
C029,2021,1,-1,1,Acquisition Led
C029,2022,1,-1,1,Acquisition Led
C029,2023,1,-1,1,Acquisition Led
C029,2024,1,-1,1,Acquisition Led
C030,2015,1,-1,1,Capex Heavy
C030,2016,1,-1,1,Capex Heavy
C030,2017,1,-1,1,Capex Heavy
C030,2018,1,-1,1,Capex Heavy
C030,2019,1,-1,1,Capex Heavy
C030,2020,1,-1,1,Capex Heavy
C030,2021,1,-1,1,Capex Heavy
C030,2022,1,-1,1,Capex Heavy
C030,2023,1,-1,1,Capex Heavy
C030,2024,1,-1,1,Capex Heavy
C031,2015,1,-1,1,Working Capital Builder
C031,2016,1,-1,1,Working Capital Builder
C031,2017,1,-1,1,Working Capital Builder
C031,2018,1,-1,1,Working Capital Builder
C031,2019,1,-1,1,Working Capital Builder
C031,2020,1,-1,1,Working Capital Builder
C031,2021,1,-1,1,Working Capital Builder
C031,2022,1,-1,1,Working Capital Builder
C031,2023,1,-1,1,Working Capital Builder
C031,2024,1,-1,1,Working Capital Builder
C032,2015,1,-1,1,Turnaround
C032,2016,1,-1,1,Turnaround
C032,2017,1,-1,1,Turnaround
C032,2018,1,-1,1,Turnaround
C032,2019,1,-1,1,Turnaround
C032,2020,1,-1,1,Turnaround
C032,2021,1,-1,1,Turnaround
C032,2022,1,-1,1,Turnaround
C032,2023,1,-1,1,Turnaround
C032,2024,1,-1,1,Turnaround
C033,2015,1,-1,1,Reinvestor
C033,2016,1,-1,1,Reinvestor
C033,2017,1,-1,1,Reinvestor
C033,2018,1,-1,1,Reinvestor
C033,2019,1,-1,1,Reinvestor
C033,2020,1,-1,1,Reinvestor
C033,2021,1,-1,1,Reinvestor
C033,2022,1,-1,1,Reinvestor
C033,2023,1,-1,1,Reinvestor
C033,2024,1,-1,1,Reinvestor
C034,2015,1,-1,1,Cash Compounder
C034,2016,1,-1,1,Cash Compounder
C034,2017,1,-1,1,Cash Compounder
C034,2018,1,-1,1,Cash Compounder
C034,2019,1,-1,1,Cash Compounder
C034,2020,1,-1,1,Cash Compounder
C034,2021,1,-1,1,Cash Compounder
C034,2022,1,-1,1,Cash Compounder
C034,2023,1,-1,1,Cash Compounder
C034,2024,1,-1,1,Cash Compounder
C035,2015,1,-1,-1,Dividend Distributor
C035,2016,1,-1,-1,Dividend Distributor
C035,2017,1,-1,-1,Dividend Distributor
C035,2018,1,-1,-1,Dividend Distributor
C035,2019,1,-1,-1,Dividend Distributor
C035,2020,1,-1,-1,Dividend Distributor
C035,2021,1,-1,-1,Dividend Distributor
C035,2022,1,-1,-1,Dividend Distributor
C035,2023,1,-1,-1,Dividend Distributor
C035,2024,1,-1,-1,Dividend Distributor
C036,2015,1,-1,-1,Debt Reducer
C036,2016,1,-1,-1,Debt Reducer
C036,2017,1,-1,-1,Debt Reducer
C036,2018,1,-1,-1,Debt Reducer
C036,2019,1,-1,-1,Debt Reducer
C036,2020,1,-1,-1,Debt Reducer
C036,2021,1,-1,-1,Debt Reducer
C036,2022,1,-1,-1,Debt Reducer
C036,2023,1,-1,-1,Debt Reducer
C036,2024,1,-1,-1,Debt Reducer
C037,2015,1,-1,1,Acquisition Led
C037,2016,1,-1,1,Acquisition Led
C037,2017,1,-1,1,Acquisition Led
C037,2018,1,-1,1,Acquisition Led
C037,2019,1,-1,1,Acquisition Led
C037,2020,1,-1,1,Acquisition Led
C037,2021,1,-1,1,Acquisition Led
C037,2022,1,-1,1,Acquisition Led
C037,2023,1,-1,1,Acquisition Led
C037,2024,1,-1,1,Acquisition Led
C038,2015,1,-1,1,Capex Heavy
C038,2016,1,-1,1,Capex Heavy
C038,2017,1,-1,1,Capex Heavy
C038,2018,1,-1,1,Capex Heavy
C038,2019,1,-1,1,Capex Heavy
C038,2020,1,-1,1,Capex Heavy
C038,2021,1,-1,1,Capex Heavy
C038,2022,1,-1,1,Capex Heavy
C038,2023,1,-1,1,Capex Heavy
C038,2024,1,-1,1,Capex Heavy
C039,2015,1,-1,1,Working Capital Builder
C039,2016,1,-1,1,Working Capital Builder
C039,2017,1,-1,1,Working Capital Builder
C039,2018,1,-1,1,Working Capital Builder
C039,2019,1,-1,1,Working Capital Builder
C039,2020,1,-1,1,Working Capital Builder
C039,2021,1,-1,1,Working Capital Builder
C039,2022,1,-1,1,Working Capital Builder
C039,2023,1,-1,1,Working Capital Builder
C039,2024,1,-1,1,Working Capital Builder
C040,2015,1,-1,1,Turnaround
C040,2016,1,-1,1,Turnaround
C040,2017,1,-1,1,Turnaround
C040,2018,1,-1,1,Turnaround
